0_0,,,,1_0,,,,1_1,,,,2_0,,,,3_0,,,,3_1,,,,
n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,
37,397.50,122.99,223.93,37,397.82,120.61,223.28,37,387.03,109.72,194.34,37,402.89,120.77,223.06,37,407.75,120.32,223.86,37,396.73,108.56,196.25,
38,394.83,119.30,222.02,38,397.86,121.08,223.21,38,385.66,107.34,195.61,38,405.29,119.13,225.64,38,408.11,120.50,225.78,38,397.77,107.66,199.40,
39,395.32,118.62,223.64,39,398.02,120.92,223.77,39,386.28,106.31,195.78,39,407.03,120.05,222.32,39,408.17,118.96,225.57,39,398.68,106.89,198.61,
40,397.05,117.50,224.85,40,400.62,119.79,225.07,40,388.52,106.67,196.95,40,408.39,117.86,224.59,40,408.65,119.43,226.70,40,398.92,105.60,195.85,
41,397.73,119.82,222.91,41,400.54,121.57,225.44,41,388.40,106.33,197.76,41,408.20,120.94,224.26,41,410.75,121.02,227.44,41,400.89,106.68,198.30,
42,398.06,119.16,223.52,42,401.03,118.63,224.60,42,389.39,107.10,197.04,42,409.12,119.44,227.32,42,413.41,121.45,229.45,42,402.78,109.97,200.86,
43,400.80,121.36,226.19,43,403.26,120.18,226.62,43,392.12,109.72,198.40,43,410.12,121.41,224.93,43,412.10,120.04,229.43,43,403.59,108.65,198.60,
44,400.55,119.84,226.03,44,403.32,121.15,226.27,44,392.62,109.75,201.93,44,411.73,123.44,223.63,44,413.88,120.39,228.87,44,404.21,112.48,200.65,
45,401.06,121.00,227.22,45,405.31,119.45,228.55,45,394.12,110.39,199.23,45,411.97,121.32,227.55,45,415.82,122.45,229.74,45,405.06,108.93,202.48,
46,402.49,121.83,226.03,46,405.40,122.01,226.87,46,393.87,109.21,198.94,46,413.25,123.21,226.64,46,415.80,120.77,230.53,46,406.15,111.74,201.81,
47,401.87,118.61,227.85,47,406.05,124.06,226.79,47,395.91,111.62,199.21,47,413.95,120.13,228.92,47,416.87,121.97,230.58,47,405.81,108.10,202.05,
48,404.59,120.02,229.85,48,408.06,124.39,228.79,48,396.45,109.51,199.41,48,414.53,120.22,228.74,48,416.30,121.64,232.03,48,406.97,107.23,204.65,
49,405.21,120.77,230.82,49,409.24,119.15,234.37,49,395.92,110.60,199.80,49,415.04,121.70,228.95,49,418.60,122.12,231.59,49,407.63,110.05,203.71,
50,407.16,121.06,230.26,50,408.98,122.53,229.98,50,397.24,109.69,201.19,50,416.57,123.85,229.11,50,419.26,121.83,233.09,50,407.84,110.21,203.18,
51,406.59,120.12,230.55,51,409.37,122.05,232.84,51,397.51,110.91,202.69,51,416.07,121.96,228.60,51,419.18,123.62,233.02,51,409.82,108.12,206.75,
52,407.34,121.22,230.73,52,409.24,123.33,232.55,52,398.73,111.87,201.69,52,417.68,122.85,232.02,52,420.69,123.11,235.97,52,411.00,112.61,204.25,
53,408.42,123.33,231.77,53,411.41,125.46,231.90,53,
