0_0,,,,1_0,,,,1_1,,,,2_0,,,,3_0,,,,3_1,,,,
n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,
37,206.20,53.62,137.43,37,208.05,53.84,137.25,37,208.41,51.15,123.50,37,209.47,52.32,142.29,37,210.67,54.60,138.18,37,209.06,52.34,124.64,
38,208.42,51.98,139.10,38,209.09,53.20,138.45,38,207.77,51.32,123.45,38,209.19,52.01,143.00,38,208.75,52.75,136.43,38,209.65,50.75,124.26,
39,207.18,52.26,139.57,39,210.45,52.18,142.53,39,208.08,51.35,122.09,39,211.27,54.25,140.73,39,210.05,52.51,140.65,39,210.71,50.85,125.39,
40,207.75,52.98,138.87,40,210.25,54.04,139.85,40,207.68,50.65,124.12,40,210.53,53.15,139.25,40,209.04,53.18,139.21,40,209.87,51.96,123.10,
41,208.87,54.79,137.81,41,211.07,52.43,142.04,41,208.78,52.21,123.64,41,211.17,53.40,141.09,41,209.99,53.14,140.00,41,210.45,52.95,123.25,
42,208.21,52.70,140.60,42,210.63,53.71,141.37,42,207.70,50.89,125.21,42,210.60,52.65,142.59,42,209.86,53.07,139.14,42,212.33,52.65,124.95,
43,209.76,53.42,139.18,43,211.82,53.29,140.68,43,209.83,52.21,121.84,43,212.83,54.07,139.10,43,211.46,52.20,139.95,43,212.36,51.81,125.12,
44,209.92,53.84,139.57,44,212.08,53.79,139.35,44,209.85,52.06,123.46,44,211.53,53.07,138.90,44,213.52,53.09,140.79,44,212.95,52.28,127.56,
45,212.98,56.03,139.46,45,211.86,53.70,141.23,45,211.68,51.23,123.89,45,212.43,53.04,144.04,45,213.56,54.12,142.67,45,211.36,51.26,125.40,
46,211.98,52.92,140.12,46,210.26,52.42,143.76,46,211.33,51.53,125.23,46,212.20,52.73,141.06,46,214.83,52.95,142.67,46,213.66,52.06,129.51,
47,211.69,52.54,142.46,47,212.10,52.98,142.56,47,210.91,52.39,124.06,47,213.19,53.01,139.56,47,212.44,54.39,140.64,47,213.05,51.67,127.14,
48,210.33,53.10,141.10,48,211.34,52.56,142.48,48,210.27,51.89,125.15,48,214.38,53.28,144.14,48,214.32,53.54,142.54,48,214.01,53.26,123.85,
49,212.56,53.29,142.67,49,212.79,54.45,140.18,49,212.45,51.89,126.50,49,213.29,53.46,141.37,49,214.84,53.82,143.21,49,212.96,50.71,127.87,
50,212.18,53.25,140.85,50,212.23,54.45,140.84,50,214.25,52.67,128.15,50,214.69,54.14,140.06,50,215.20,54.50,143.42,50,214.82,52.15,127.64,
51,212.11,53.10,142.40,51,213.48,54.54,141.26,51,211.88,51.14,127.26,51,215.30,53.51,143.20,51,215.11,53.95,144.81,51,213.61,51.31,127.54,
52,213.43,54.35,141.25,52,213.59,53.14,143.76,52,214.53,53.48,126.64,52,214.90,53.18,144.06,52,216.02,53.75,142.56,52,214.75,51.89,126.31,
53,213.41,55.56,143.17,53,214.38,54.15,140.54,53,212.77,51.06,128.40,53,215.72,53.90,142.35,53,213.67,53.92,142.37,53,215.03,51.85,127.82,
54,214.31,53.57,142.64,54,214.59,54.68,144.12,54,215.24,52.29,128.31,54,215.22,53.35,145.21,54,216.30,53.70,141.35,54,215.40,50.84,128.96,
55,213.92,53.98,143.17,55,214.89,53.98,140.50,55,213.55,53.32,126.70,55,215.00,54.14,141.39,55,214.47,52.93,142.42,55,217.54,54.04,129.65,
56,215.16,52.65,143.32,56,215.42,54.92,142.68,56,215.46,52.76,127.46,56,215.27,52.84,143.00,56,217.87,53.89,147.00,56,216.17,52.46,128.62,
57,214.25,53.04,146.39,57,215.79,55.45,144.26,57,213.35,52.45,128.45,57,216.72,53.92,144.35,57,218.30,54.35,143.64,57,217.22,52.56,131.35,
58,216.63,53.29,143.31,58,216.73,55.15,145.57,58,216.79,53.25,127.76,58,217.46,53.98,146.48,58,218.29,55.06,144.45,58,218.28,52.31,130.57,
59,199.80,50.90,132.54,59,203.13,49.62,134.75,59,204.83,49.34,121.95,59,203.03,49.39,134.64,59,207.79,50.95,137.84,59,206.36,49.31,123.64,
60,203.24,50.78,136.64,60,202.75,51.39,135.93,60,205.48,48.53,125.92,60,203.97,50.26,135.90,60,205.67,49.03,136.64,60,204.81,48.67,121.43,
61,198.85,50.04,134.84,61,200.70,50.14,133.53,61,203.30,49.57,121.14,61,202.24,49.18,136.00,61,204.66,50.32,136.60,61,205.56,48.60,121.95,
62,201.70,49.67,133.64,62,203.32,50.10,136.68,62,202.11,50.12,120.64,62,202.61,51.31,132.25,62,203.37,50.20,134.50,62,201.32,48.98,119.60,
63,202.28,50.04,136.18,63,203.10,50.01,134.56,63,203.94,48.95,123.14,63,202.90,50.85,136.03,63,206.11,49.07,137.20,63,205.45,49.51,121.15,
64,203.47,51.14,134.65,64,204.02,50.85,133.67,64,202.79,49.32,122.20,64,204.85,49.20,137.54,64,205.68,49.00,139.56,64,205.41,48.10,124.15,
65,203.28,52.60,131.60,65,201.30,50.90,134.46,65,200.09,48.25,121.75,65,202.01,50.07,134.00,65,201.95,49.26,136.51,65,201.75,48.54,119.73,
66,200.88,50.42,135.31,66,200.96,49.40,135.53,66,200.66,48.50,122.00,66,202.25,50.26,135.06,66,202.36,49.59,134.53,66,202.41,49.48,121.17,
67,201.30,50.26,133.92,67,201.30,50.81,134.98,67,202.06,49.03,120.95,67,204.12,50.70,136.15,67,205.90,50.54,135.70,67,206.98,48.01,124.57,
68,204.28,49.79,135.71,68,205.69,50.78,136.01,68,206.01,48.73,123.75,68,206.62,49.70,137.78,68,206.78,50.92,134.65,68,207.30,48.23,125.37,
69,203.00,50.90,135.75,69,202.54,50.09,134.71,69,206.46,50.17,121.37,69,205.95,51.53,135.25,69,208.22,50.46,138.15,69,208.04,50.10,124.15,
70,204.25,51.12,132.82,70,204.89,52.60,136.45,70,205.07,48.50,121.84,70,206.42,52.12,135.84,70,207.22,50.20,135.90,70,208.83,49.04,122.81,
71,205.63,49.03,139.26,71,205.87,50.87,136.70,71,206.25,49.45,122.87,71,205.35,50.51,135.59,71,207.25,50.10,133.48,71,207.60,51.01,121.26,
72,206.64,48.98,138.29,72,206.86,52.53,134.18,72,206.93,49.81,123.37,72,205.94,50.67,138.79,72,208.54,51.07,139.07,72,208.75,50.31,122.84,
73,204.25,50.67,133.60,73,206.82,52.00,137.67,73,206.94,50.01,123.95,73,207.87,50.15,138.04,73,208.98,52.09,138.67,73,209.12,49.70,124.70,
74,205.16,52.59,135.45,74,204.64,51.89,134.06,74,205.68,50.03,122.56,74,208.05,51.46,136.96,74,209.18,50.65,138.96,74,209.80,51.70,122.39,
75,206.89,52.32,134.57,75,207.49,52.18,138.07,75,207.65,50.31,125.76,75,208.97,51.01,137.92,75,209.09,50.57,141.43,75,210.29,49.81,124.25,
76,207.09,50.87,138.60,76,208.44,50.73,137.28,76,205.39,48.34,125.56,76,208.24,50.48,136.20,76,210.36,50.59,140.96,76,208.84,49.68,126.70,
77,207.67,51.43,138.75,77,207.16,52.78,136.01,77,206.57,49.39,123.56,77,209.20,52.07,139.06,77,209.79,52.29,139.54,77,210.05,49.37,125.98,
78,208.82,52.14,138.34,78,208.88,51.51,139.65,78,210.42,50.34,122.81,78,207.38,52.25,136.07,78,206.89,50.53,137.89,78,206.24,50.51,123.78,
79,204.21,49.87,141.26,79,205.87,52.21,137.76,79,204.91,49.03,124.68,79,206.69,50.98,137.17,79,206.74,50.79,140.43,79,208.41,49.71,122.01,
80,204.87,52.15,134.37,80,205.10,50.56,137.25,80,205.89,50.42,121.71,80,206.40,51.70,139.00,80,208.00,51.01,140.04,80,207.27,50.87,124.84,
81,207.45,51.39,138.79,81,205.85,52.87,136.95,81,206.93,49.64,127.06,81,206.90,51.26,135.75,81,208.23,51.67,139.51,81,208.05,48.67,127.42,
82,205.18,52.96,135.73,82,206.61,51.18,139.79,82,206.60,48.56,127.79,82,207.72,51.26,138.12,82,207.91,52.32,138.59,82,208.59,49.90,127.45,
83,205.78,51.78,138.03,83,206.98,52.56,136.04,83,205.72,50.28,122.84,83,207.30,52.23,140.81,83,208.91,50.50,139.90,83,207.52,49.62,125.45,
84,206.93,52.18,136.87,84,207.04,53.32,134.37,84,207.35,49.62,124.87,84,207.52,52.01,136.50,84,209.17,52.71,137.50,84,208.66,48.92,127.87,
85,207.13,51.10,138.07,85,207.18,52.64,138.15,85,207.44,49.01,126.37,85,214.58,53.09,142.09,85,211.83,52.21,139.00,85,208.58,49.50,126.15,
86,207.31,53.42,135.81,86,207.49,51.87,140.25,86,207.50,51.15,124.43,86,208.30,51.54,138.90,86,208.96,50.90,139.93,86,209.73,50.09,125.85,
87,207.61,51.85,139.07,87,208.10,51.89,140.26,87,207.18,49.57,127.31,87,209.91,51.78,139.53,87,209.52,51.53,140.21,87,210.55,49.96,128.54,
88,207.55,51.81,139.45,88,208.54,50.54,139.37,88,207.62,50.85,126.79,88,210.06,53.53,138.85,88,209.80,51.70,139.85,88,211.07,50.68,126.07,
89,208.37,51.78,140.64,89,209.93,52.04,139.34,89,208.51,51.40,124.54,89,210.43,53.43,140.60,89,209.99,52.07,139.50,89,210.85,51.04,125.54,
90,208.56,53.78,138.21,90,208.87,52.68,139.90,90,208.45,50.09,126.57,90,211.30,52.46,140.10,90,210.53,51.17,139.43,90,211.18,49.90,126.40,
91,208.86,50.62,140.43,91,209.93,52.59,139.50,91,209.93,51.62,125.79,91,210.79,52.73,139.20,91,210.94,52.21,139.01,91,211.62,49.67,126.71,
92,209.34,52.71,140.67,92,209.92,51.68,139.95,92,209.26,51.67,125.57,92,211.17,53.25,139.79,92,211.19,51.07,142.96,92,212.10,50.45,126.14,
93,209.42,53.32,139.76,93,210.48,53.18,139.29,93,209.76,50.75,125.96,93,211.61,52.50,138.89,93,211.82,52.87,141.26,93,212.52,51.03,126.92,
94,209.67,52.67,141.62,94,211.31,53.62,140.57,94,210.48,50.85,125.56,94,212.28,53.28,141.04,94,212.62,53.59,140.01,94,211.74,50.45,127.85,
95,210.55,52.60,141.25,95,211.01,52.15,142.14,95,211.66,51.75,125.76,95,211.81,52.34,140.04,95,218.62,53.09,143.64,95,216.92,51.04,129.01,
96,215.28,54.35,141.20,96,217.00,51.68,143.42,96,212.77,50.46,127.96,96,214.57,53.60,140.85,96,216.39,52.15,144.70,96,215.88,51.09,126.54,
97,215.10,52.68,143.68,97,215.56,53.09,144.26,97,213.63,49.89,128.65,97,214.29,51.10,143.09,97,216.37,53.12,144.64,97,217.74,50.32,128.43,
98,215.01,52.68,143.65,98,215.27,53.25,140.28,98,214.71,52.35,127.84,98,214.26,53.12,142.12,98,215.25,54.07,141.81,98,215.21,50.67,127.25,
99,215.52,53.60,142.51,99,215.65,53.04,141.35,99,214.91,51.29,128.23,99,217.13,50.45,144.73,99,215.87,53.14,143.68,99,217.51,50.43,129.46,
