0_0,,,,1_0,,,,1_1,,,,2_0,,,,3_0,,,,3_1,,,
n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys
38,149.12,107.42,78.92,38,148.39,106.92,78.08,38,151.63,106.26,73.87,38,151.42,109.69,86.55,38,151.85,110.15,86.22,38,150.03,106.96,78.96
39,150.91,108.65,79.39,39,150.94,108.51,79.66,39,147.82,104.67,71.37,39,151.31,109.73,85.71,39,152.85,110.72,86.66,39,150.08,106.91,79.07
40,150.16,108.41,79.22,40,148.68,107.27,78.28,40,148.98,105.24,71.83,40,152.29,110.5,86.62,40,151.35,109.93,86.06,40,149.27,106.51,78.65
41,151.86,109.2,80.14,41,150.66,108.39,79.42,41,150.62,106.2,72.38,41,152.27,110.39,86.43,41,154.76,111.88,87.93,41,150.03,106.86,78.78
42,155.92,110.7,81.21,42,150.83,108.4,79.82,42,149.84,105.67,72.45,42,152.79,110.91,86.88,42,151.93,110.31,85.98,42,150.74,107.6,79.13
43,151.94,109.17,79.86,43,150.13,108.16,79.26,43,147.4,104.38,71.18,43,151.52,110.22,85.92,43,154.15,111.58,87.3,43,150.87,107.7,79.43
44,148.21,107.21,78.12,44,152.23,109.49,80.2,44,149.64,105.81,71.69,44,152.82,110.93,86.69,44,150.28,109.46,85.14,44,149.59,107.04,78.48
45,151.52,109.1,79.82,45,151.2,108.9,79.51,45,148.09,104.93,71.41,45,151.62,110.35,85.91,45,154.26,111.85,87.12,45,153.99,109.5,80.69
46,150.77,108.84,79.61,46,151.47,109.04,79.85,46,152.05,107.23,73.16,46,151.81,110.44,86.28,46,151.4,110.16,85.96,46,150.27,107.46,78.65
47,153.01,109.9,80.07,47,152.12,109.67,80.06,47,149.98,106.31,72.21,47,153.9,111.75,87.68,47,156.1,112.89,88.85,47,151.71,108.33,80.02
48,151.44,109.31,79.86,48,150.89,108.87,79.5,48,151.11,106.79,72.65,48,152.05,110.8,86.29,48,154.46,112.17,87.39,48,154.57,109.95,81.61
49,155.93,111.9,82.34,49,151.98,109.52,80.11,49,151.07,106.94,73.24,49,152.67,111.08,86.36,49,157.34,113.74,89.35,49,153.69,109.59,81.2
50,151.18,109.35,79.9,50,152.33,109.72,80.43,50,153.69,108.29,74.31,50,153.61,111.83,87.26,50,153.39,111.81,86.91,50,154.24,109.77,80.91
51,154.3,111.25,81.44,51,152.53,110.17,80.99,51,151.4,107.44,73.18,51,154.76,112.13,86.71,51,154.67,112.48,87.86,51,153.12,109.37,80.71
52,153.41,110.98,81.64,52,156.59,112.44,82.72,52,151.57,107.62,73.45,52,153.4,111.81,87.3,52,155.57,113.07,88.73,52,154.08,109.91,80.93
53,154.15,111.35,81.97,53,154.38,111.34,82.08,53,153.44,108.48,74.41,53,154.01,112.01,86.96,53,155.04,112.75,87.92,53,154.8,110.34,81.43
54,154.21,111.53,82.01,54,153.86,111.07,80.82,54,151.64,107.39,74.02,54,155.38,113.14,88.29,54,156.58,113.67,89.61,54,155.67,111.04,81.85
55,153.79,111.42,81.4,55,153.46,110.76,81.2,55,151.09,107.35,73.13,55,154.47,112.42,87.12,55,155.25,113.06,88.21,55,153.86,110.06,81.17
56,151.93,110.34,80.11,56,157.13,112.92,82.51,56,151.79,107.87,73.57,56,156.05,113.62,88.77,56,157.13,114.21,89.64,56,158.87,112.95,84.28
57,154.51,111.95,82.06,57,155.33,112.15,82.14,57,154.26,109.22,74.73,57,155.84,113.62,88.98,57,154.81,112.85,88.16,57,155.46,111.1,82.26
58,156.58,112.8,82.73,58,155.79,112.56,82.21,58,152.57,108.43,74.22,58,155.97,113.67,88.63,58,159.16,115.56,90.04,58,156.18,111.68,82.51
59,153.42,111.44,81.06,59,152.57,110.64,80.45,59,153.9,109.22,74.66,59,158.46,115.06,90.51,59,157.11,114.41,89.36,59,154.51,110.81,81.25
60,156.06,112.92,82.8,60,155.43,112.6,82.31,60,153.03,108.87,74.3,60,156.53,114.23,89.02,60,158.91,115.31,89.32,60,155.83,111.69,81.95
